Order_ID,Product_Category,Shipping_Mode,Order_Value,Package_Weight_Kg,Warehouse_Distance_Km,Items_in_Order,Warehouse_Processing_Hours,Courier_Load_Index,Traffic_Index,Delivery_Time_Hours
ORD100165,Electronics,Standard,5083,1.92,383.0,2,2.05,4.58,2.95,41.76
ORD100166,Beauty,Standard,3666,1.48,417.7,2,2.39,5.01,3.56,46.06
ORD100167,Fashion,same-day,4189,1.97,452.5,2,2.33,5.44,4.17,36.01
ORD100168,Books,Express,3572,2.72,487.2,2,2.86,5.87,4.78,49.55
ORD100169,Beauty,Standard,3915,2.35,521.9,2,3.4,6.3,5.39,49.52
ORD100170,Fashion,Same-Day,5998,3.74,556.7,5,3.99,6.73,6.0,44.44
ORD100171,Books,Express,5100,4.84,591.4,5,4.53,7.16,6.61,57.93
ORD100172,Home & Kitchen,Standard,6983,7.08,642.1,5,2.87,7.66,7.22,70.01
ORD100173,Electronics,Same-Day,7716,5.72,676.8,5,2.81,8.09,7.83,59.62
ORD100174,Beauty,Express,5699,4.66,711.6,5,3.34,8.52,8.44,59.48
ORD100175,Fashion,Standard,6432,1.7,746.3,5,3.88,8.95,9.05,72.15
ORD100176,Electronics,Same-Day,7965,3.1,781.0,5,3.81,9.38,9.66,64.4
ORD100177,Beauty,Same-Day,5948,2.04,815.8,5,4.15,9.81,1.27,56.1
ORD100178,Fashion,Express,6681,2.68,850.5,5,4.17,1.74,1.88,59.18
ORD100179,Books,Standard,5764,3.67,885.2,5,2.51,2.17,2.49,58.89
ORD100180,Home & Kitchen,Same-Day,7647,5.91,920.0,5,2.45,2.6,3.1,52.81
ORD100181,Electronics,Express,8380,4.66,34.7,5,2.98,3.03,3.71,25.28
ORD100182,Beauty,Standard,6363,3.6,69.4,5,3.52,3.46,4.32,36.37
ORD100183,Home & Kitchen,Same-Day,5496,4.29,104.2,1,2.57,3.89,4.93,26.11
ORD100184,Electronics,Express,6029,3.85,1389.0,1,3.11,4.32,5.54,26.62
ORD100185,Beauty,Standard,4812,3.47,173.6,1,3.65,4.75,6.28,39.52
ORD100186,Fashion,Same-Day,5265,0.42,208.4,1,1.38,5.18,6.89,25.89
ORD100187,Books,Express,4748,1.09,243.1,1,1.92,5.61,7.5,39.09
ORD100188,Home & Kitchen,Express,5930,2.25,277.9,1,2.25,6.04,8.11,46.06
ORD100189,Electronics,Standard,6463,1.81,312.6,1,2.79,6.47,8.72,46.72
ORD100190,Books,Same-Day,5016,1.96,363.3,1,2.72,6.9,9.33,38.64
ORD100191,Home & Kitchen,Express,6179,3.23,398.0,1,3.26,7.4,9.94,52.45
ORD100192,Electronics,Standard,6712,2.79,432.7,1,3.8,7.83,1.55,51.53
ORD100193,Beauty,Same-Day,5495,2.41,467.5,1,1.54,8.26,2.16,39.19
ORD100194,Fashion,Express,5948,2.85,502.2,1,2.07,8.69,2.77,40.39
ORD100195,,Standard,5431,3.52,536.9,1,2.61,9.12,3.38,54.59
ORD100196,Home & Kitchen,Same-Day,8394,6.74,571.7,4,3.2,9.55,3.99,49.32
ORD100197,Fashion,Express,7757,4.73,606.4,4,3.74,9.98,4.6,58.83
ORD100198,Books,Standard,6940,2.04,641.1,4,3.76,1.91,5.21,62.67
ORD100199,Home & Kitchen,Standard,8643,4.01,691.8,4,4.1,2.34,5.82,59.56
ORD100200,Electronics,Same-Day,9326,2.88,726.6,4,1.84,2.77,6.43,47.09
ORD100201,Beauty,Express,7509,2.1,761.3,4,2.37,3.2,7.04,58.32
ORD100202,Fashion,Standard,8172,2.69,796.0,4,-1.1,3.63,7.65,70.1
ORD100203,Books,Same-Day,7355,3.6,830.8,4,2.84,4.06,8.26,62.52
ORD100204,Beauty,Express,7758,2.97,865.5,4,3.38,4.49,8.87,63.74
ORD100205,Fashion,Standard,8440,3.56,900.2,4,3.92,4.92,9.48,76.22
ORD100206,Books,Same-Day,7623,4.58,935.0,4,3.85,5.35,1.09,55.66
ORD100207,Home & Kitchen,Express,9326,6.55,33.8,4,2.19,5.78,1.7,27.67
ORD100208,BOOKS,Standard,10009,5.42,84.5,4,2.72,6.21,2.44,40.57
ORD100209,Beauty,Same-Day,9542,1.68,119.2,7,3.32,6.64,3.05,20.79
ORD100210,Fashion,Same-Day,10415,2.42,153.9,7,3.66,7.14,3.66,26.07
ORD100211,Electronics,Express,12208,4.06,188.7,7,4.19,7.57,4.27,39.98
ORD100212,Beauty,Standard,9791,2.66,223.4,7,4.73,8.0,4.88,51.05
ORD100213,Fashion,Same-Day,10664,3.4,258.1,7,4.67,8.43,5.49,42.32
ORD100214,Books,Express,9547,4.55,292.9,7,3.0,8.86,6.1,42.41
ORD100215,Home & Kitchen,Standard,11790,7.33,327.6,7,3.54,9.29,6.71,57.14
ORD100216,Electronics,Same-Day,6623,5.62,362.3,7,3.47,9.72,7.32,45.98
ORD100217,Beauty,Express,4206,4.22,413.0,7,3.5,1.65,7.93,48.62
ORD100218,Home & Kitchen,Standard,6039,8.31,447.8,7,4.03,2.08,8.54,64.89
ORD100219,Electronics,Express ,6872,6.49,482.5,7,3.97,2.51,9.15,43.24
ORD100220,Beauty,Express,4455,5.09,517.2,7,4.51,2.94,9.76,54.72
ORD100221,Fashion,Express,5328,2.34,552.0,7,2.64,3.37,1.37,43.42
ORD100222,Books,Standard,2550,1.97,586.7,3,2.3,3.8,1.98,53.58
ORD100223,Home & Kitchen,Same-Day,4073,3.67,621.4,3,2.23,4.23,2.59,47.38
ORD100224,Electronics,Express,4706,2.77,656.2,3,2.77,4.66,3.2,47.49
ORD100225,Books,Standard,2799,2.84,690.9,3,3.31,5.09,3.81,59.66
ORD100226,Home & Kitchen,Same-Day,4322,4.65,741.6,3,3.24,5.52,4.42,52.44
ORD100227,Electronics,Express,4955,3.75,776.3,3,3.78,5.95,5.03,63.68
ORD100228,Beauty,Standard,3338,3.03,811.1,3,4.31,6.38,5.64,77.0
ORD100229,Fashion,Same-Day,3931,3.57,845.8,3,2.05,6.88,6.25,53.1
ORD100230,Books,Express,3214,4.4,880.5,3,2.59,7.31,6.86,66.71
ORD100231,Home & Kitchen,Standard,4737,6.21,915.3,3,3.12,7.74,7.6,80.7
ORD100232,Fashion,Standard,4180,0.95,950.0,3,3.46,8.17,8.21,82.17
ORD100233,Books,Same-Day,3463,1.78,48.8,3,3.4,8.6,8.82,37.07
ORD100234,Home & Kitchen,Express,4986,3.48,83.5,3,3.93,9.03,9.43,38.98
ORD100235,Electronics,Standard,7569,3.84,134.2,6,5.13,9.46,1.04,41.42
ORD100236,Beauty,Same-Day,5352,2.72,169.0,6,2.86,9.89,1.65,28.12
ORD100237,Fashion,Express,6155,3.41,203.7,6,2.89,1.82,2.26,31.0
ORD100238,Books,Standard,5138,4.48,238.4,6,3.42,2.25,2.87,48.26
ORD100239,Beauty,Same-Day,5620,3.59,273.2,6,3.36,2.68,3.48,24.95
ORD100240,Fashion,Express,6423,4.28,307.9,6,3.9,3.11,4.09,36.99
ORD100241,Books,Standard,5406,5.46,342.6,6,4.43,3.54,4.7,50.29
ORD100242,Home & Kitchen,Same-Day,7469,7.97,377.4,6,4.37,3.97,5.31,42.92
ORD100243,Electronics,Same-Day,8252,6.38,412.1,6,2.5,4.4,5.92,30.76
ORD100244,Beauty,Express,6035,1.55,462.8,6,3.04,4.83,6.53,45.36
ORD100245,Fashion,Standard,6838,2.24,497.5,6,3.58,5.26,7.14,57.36
ORD100246,Electronics,Same-Day,8501,3.76,532.3,6,3.51,5.69,7.75,49.48
ORD100247,Beauty,Express,6284,2.53,567.0,6,4.05,6.12,8.36,60.83
ORD100248,Fashion,Standard,,2.02,601.7,2,3.71,6.62,8.97,57.57
ORD100249,Books,Same-Day,4390,2.77,636.5,2,3.64,7.05,9.58,51.77
ORD100250,Home & Kitchen,Express,5733,4.2,671.2,2,1.98,7.48,1.19,50.88
ORD100251,Electronics,Standard,6316,3.64,705.9,2,2.51,7.91,1.8,62.05
ORD100252,Electronics ,Same-Day,4899,3.09,740.7,2,2.45,8.34,2.41,51.98
ORD100253,Home & Kitchen,Express,5982,5.18,791.4,2,2.99,8.77,3.02,55.53
ORD100254,Electronics,Express,6565,4.51,826.1,2,3.32,9.2,3.76,61.71
ORD100255,Beauty,Standard,5148,3.96,860.8,2,3.86,0.0,4.37,73.15
ORD100256,Fashion,Same-Day,5690,0.96,895.6,2,3.28,1.56,4.98,52.96
ORD100257,Books,Express,5073,1.71,930.3,2,1.62,1.99,5.59,63.96
ORD100258,Home & Kitchen,Standard,6416,3.14,29.1,2,2.16,2.42,6.2,27.39
ORD100259,Electronics,Same-Day,6999,2.47,63.8,2,2.09,2.85,6.81,18.53
ORD100260,Books,Express,5322,2.58,98.5,2,2.63,3.28,7.42,30.43
ORD100261,Home & Kitchen,Standard,8465,6.07,133.3,5,3.82,3.71,8.03,46.9
ORD100262,Electronics,Same-Day,9198,4.71,184.0,5,3.76,4.14,8.64,37.29
ORD100263,Beauty,Express,7181,3.65,218.7,5,4.29,4.57,9.25,37.65
ORD100264,Fashion,Standard,7914,4.29,253.4,5,2.63,5.0,9.86,48.19
ORD100265,Books,Standard,6997,5.28,288.2,5,2.97,5.43,1.47,42.18
ORD100266,Home & Kitchen,Same-Day,8880,7.63,322.9,5,2.9,5.86,2.08,34.48
ORD100267,Fashion,Express,8163,1.67,357.6,5,3.44,6.36,2.69,43.42
ORD100268,Books,Standard,7246,2.66,392.4,5,3.98,6.79,3.3,46.11
ORD100269,Home & Kitchen,Same-Day,9129,4.9,427.1,5,3.91,7.22,3.91,39.59
ORD100270,Electronics,Express,9862,3.54,461.8,5,4.45,7.65,4.52,50.62
ORD100271,Beauty,Standard,7845,2.59,512.5,5,2.78,8.08,5.13,59.8
ORD100272,Fashion,Same-Day,8578,3.23,547.3,5,2.72,8.51,5.74,50.48
ORD100273,Books,Express,7680,4.22,582.0,5,3.26,8.94,6.35,53.27
ORD100274,Beauty,Standard,6313,2.46,616.7,1,2.91,9.37,6.96,62.79
ORD100275,Fashion,Same-Day,6766,2.9,651.5,1,2.85,9.8,7.57,52.81
ORD100276,Books,STANDARD,6249,3.68,686.2,1,2.67,1.73,8.18,49.71
ORD100277,Home & Kitchen,Express,7412,4.84,720.9,1,3.21,2.16,8.92,64.27
ORD100278,Electronics,Standard,7945,4.4,755.7,1,1.55,2.59,9.53,62.4
ORD100279,Beauty,Same-Day,6728,0.42,790.4,1,1.48,3.02,1.14,39.7
ORD100280,Fashion,Express,7181,0.86,841.1,1,2.02,3.45,1.75,52.09
ORD100281,Electronics,Standard,8194,1.78,875.8,1,2.55,3.88,2.36,65.77
ORD100282,Beauty,Same-Day,6977,1.4,910.6,1,2.49,4.31,2.97,56.27
ORD100283,Fashion,Express,7430,1.84,945.3,1,3.02,4.74,3.58,57.51
ORD100284,Books,Standard,6913,2.51,44.1,1,3.56,5.17,4.19,32.17
ORD100285,Home & Kitchen,Same-Day,8076,3.67,78.8,1,1.3,5.6,4.8,21.47
ORD100286,Electronics,Express,8609,3.34,113.6,1,1.84,6.1,5.41,32.85
ORD100287,Beauty,Express,2742,3.71,148.3,4,2.83,6.53,6.02,40.01
ORD100288,Home & Kitchen,Standard,4125,6.6,183.0,4,3.37,6.96,6.63,43.99
ORD100289,Electronics,Same-Day,4808,5.47,233.7,4,3.3,7.39,7.24,34.63
ORD100290,Beauty,Express,3010,0.98,268.5,4,3.84,7.82,7.85,44.73
ORD100291,Fashion,Standard,3673,1.68,303.2,4,4.38,8.25,8.46,56.57
ORD100292,Books,Same-Day,2856,2.59,337.9,4,2.11,8.68,9.07,46.64
ORD100293,Home & Kitchen,Express,4559,4.56,372.7,4,2.65,9.11,9.68,49.97
ORD100294,Electronics,Standard,5242,3.43,407.4,4,3.18,9.54,1.29,49.42
ORD100295,Books,Same-Day,3105,3.46,442.1,4,3.12,9.97,1.9,39.43
ORD100296,Home & Kitchen,Express,4808,5.54,476.9,4,3.14,1.9,2.51,44.35
ORD100297,Electronics,,5491,4.41,511.6,4,3.68,2.33,3.12,56.74
ORD100298,Beauty,Standard,3674,3.52,562.3,4,4.02,2.76,3.73,50.63
ORD100299,Fashion,Same-Day,4337,4.11,597.0,4,3.95,3.19,4.34,41.15
ORD100300,Books,Express,4780,6.16,631.8,7,2.95,3.62,5.08,54.39
ORD100301,Home & Kitchen,Standard,7023,5.45,666.5,7,3.48,4.05,5.69,67.64
ORD100302,Fashion,Same-Day,6146,2.39,701.2,7,3.42,4.48,6.3,56.72
ORD100303,home & Kitchen,Express,5029,3.54,736.0,7,3.95,4.91,6.91,59.11
ORD100304,Home & Kitchen,Standard,7272,6.32,770.7,7,4.49,5.34,7.52,73.72
ORD100305,Electronics,Same-Day,8105,4.5,805.4,7,4.43,5.84,8.13,62.88
ORD100306,Beauty,Express,5688,3.21,840.2,7,4.97,6.27,8.74,74.05
ORD100307,Fashion,Standard,6580,3.95,890.9,7,3.3,6.7,9.35,85.87
ORD100308,Books,Same-Day,5463,5.1,925.6,7,3.24,7.13,12.4,66.22
