Order_ID,Product_Category,Shipping_Mode,Order_Value,Package_Weight_Kg,Warehouse_Distance_Km,Items_in_Order,Warehouse_Processing_Hours,Courier_Load_Index,Traffic_Index,Delivery_Time_Hours
ORD100080,Fashion,Standard,5313,2.56,660.1,3,2.61,5.72,1.88,56.4
ORD100081,Electronics,Express,3545,2.32,585.6,2,2.96,3.46,6.67,46.08
ORD100082,Home & Kitchen,Same-Day,4380,3.02,559.0,2,1.39,9.78,6.68,43.91
ORD100083,Books,Same-Day,2938,1.51,733.2,1,2.15,9.04,5.39,47.23
ORD100084,Home & Kitchen,Same-Day,6072,4.48,890.5,8,2.39,8.26,8.74,75.63
ORD100085,Fashion,Standard,8288,4.55,724.2,10,3.24,5.23,4.85,64.44
ORD100086,Home & Kitchen,express,3319,3.38,237.3,5,3.87,5.93,4.97,38.74
ORD100087,Books,Standard,5639,4.75,498.5,7,2.9,2.95,6.81,59.01
ORD100088,Books,Express,3463,5.64,560.5,7,2.27,3.96,5.34,52.68
ORD100089,Home & Kitchen,Standard,5252,3.89,414.5,5,3.56,2.13,1.63,46.57
ORD100090,Electronics,Same-Day,6379,4.6,373.5,4,2.83,1.94,5.14,31.76
ORD100091,Books,Express,5581,2.94,84.6,6,4.83,5.08,3.41,27.48
ORD100092,Electronics,Standard,7376,5.53,31.5,6,2.22,2.34,1.82,25.68
ORD100093,Electronics,Standard,5896,5.3,319.4,7,2.15,5.53,8.65,47.46
ORD100094,Home & Kitchen,Standard,3945,3.83,563.2,3,2.12,3.4,9.23,58.39
ORD100095,Books,Express,3924,3.2,502.4,2,1.04,9.57,7.58,52.55
ORD100096,Fashion,Express,5896,3.95,739.9,8,3.12,9.99,9.56,74.34
ORD100097,BOOKS,Express,1944,2.97,284.9,1,3.22,7.32,2.68,31.87
ORD100098,Books,Standard,4393,3.43,429.8,3,2.23,2.01,3.95,48.96
ORD100099,Electronics,Standard,5708,3.1,891.7,3,1.73,2.13,4.87,68.77
ORD100100,Books,Express ,1079,2.48,760.9,4,2.35,7.82,8.54,66.41
ORD100101,Home & Kitchen,Same-Day,4174,4.75,611.8,8,2.9,5.76,1.38,44.43
ORD100102,Electronics,Standard,3754,4.02,162.8,4,2.96,7.96,7.65,36.86
ORD100103,Fashion,Same-Day,3157,2.11,548.3,1,2.9,7.09,9.0,53.24
ORD100104,Fashion,Same-Day,4792,3.45,753.0,7,3.44,9.77,9.47,63.91
ORD100105,Beauty,Standard,1155,2.15,942.0,2,3.93,5.58,6.57,75.27
ORD100106,Fashion,Standard,3348,2.87,793.5,3,3.25,1.7,2.26,63.39
ORD100107,Beauty,Express,4075,1.91,912.0,2,1.87,9.18,9.8,77.46
ORD100108,Fashion,Standard,2809,6.38,304.7,2,3.37,3.53,6.92,54.08
ORD100109,Home & Kitchen,Same-Day,4904,5.0,861.8,5,1.29,8.51,1.61,52.36
ORD100110,Home & Kitchen,Standard,2211,2.82,166.6,3,3.49,6.41,4.85,42.94
ORD100111,Electronics,Standard,6587,4.09,489.5,8,4.36,3.5,7.45,60.17
ORD100112,Home & Kitchen,Express,4042,4.23,71.8,8,4.72,3.4,6.55,37.5
ORD100113,Books,Standard,4677,4.13,204.9,3,0.84,6.41,9.59,48.63
ORD100114,Books,Same-Day,3306,3.2,89.4,7,3.27,3.2,4.78,23.63
ORD100115,Beauty,Express,6680,4.02,68.0,8,1.86,4.39,8.34,28.81
ORD100116,Beauty,Same-Day,2789,3.48,730.7,5,3.56,6.59,1.3,43.57
ORD100117,Books,Express,3328,1.79,429.1,2,1.02,5.42,2.66,42.26
ORD100118,Home & Kitchen,Standard,5058,2.63,763.2,3,2.63,7.48,1.25,63.46
ORD100119,Beauty,Standard,4964,4.14,430.5,9,3.57,6.56,8.37,64.17
ORD100120,Fashion,Standard,2287,3.89,287.9,3,1.53,4.47,6.14,47.47
ORD100121,Home & Kitchen,Express,4642,4.49,169.7,1,1.92,7.08,2.61,30.82
ORD100122,Books,express,4024,2.72,307.2,4,2.0,3.9,1.37,30.34
ORD100123,Books,Standard,300,3.6,772.4,2,3.49,7.23,9.6,71.19
ORD100124,Fashion,Same-Day,6990,3.03,282.6,6,2.41,1.27,2.72,28.12
ORD100125,Beauty,Standard,8014,4.17,23.0,10,3.92,1.32,5.8,35.49
ORD100126,Beauty,Same-Day,1848,2.87,472.6,1,3.13,9.91,2.74,34.79
ORD100127,Books,Express,,5.06,231.3,4,1.38,7.12,8.9,43.5
ORD100128,Fashion,Same-Day,7990,3.82,330.5,9,4.52,5.72,1.94,34.11
ORD100129,Fashion,Standard,4401,3.21,204.1,7,4.31,6.42,9.69,51.04
ORD100130,Home & Kitchen,Standard,4258,4.12,670.3,3,1.19,7.63,2.52,64.64
ORD100131,Beauty,Standard,3390,3.25,624.7,8,2.42,8.42,6.19,63.34
ORD100132,Fashion,Express,919,2.95,890.4,2,4.31,1.73,5.51,61.58
ORD100133,Fashion,Same-Day,3598,4.27,618.5,7,2.65,9.99,5.17,50.19
ORD100134,Fashion,Standard,3029,4.69,755.0,3,2.67,1.99,2.89,57.21
ORD100135,Home & Kitchen,Same-Day,6246,4.39,16.6,8,3.48,3.85,4.04,31.54
ORD100136,BOOKS,Standard,5473,4.82,324.0,10,4.4,3.15,1.38,44.93
ORD100137,Books,Express,4198,3.2,571.1,4,1.63,6.7,5.06,52.33
ORD100138,Electronics,Standard,7270,5.94,437.9,8,4.63,8.81,7.24,64.19
ORD100139,FASHION,Same-Day,3863,2.58,587.0,5,2.79,8.17,8.9,56.65
ORD100140,Books,Same-Day,6688,4.07,137.7,5,4.27,3.69,2.69,24.03
ORD100141,Electronics,Same-Day,2394,4.06,823.4,3,4.06,6.99,2.07,55.12
ORD100142,Beauty,Express,3824,4.22,527.3,8,2.18,9.27,7.25,54.26
ORD100143,Fashion,Same-Day,1647,2.74,813.8,2,2.49,3.42,1.4,44.34
ORD100144,Electronics,Standard,3064,3.4,68.7,4,2.23,9.94,9.64,41.6
ORD100145,Beauty,Express,6837,4.01,419.7,7,4.72,6.05,9.69,58.29
ORD100146,Beauty,Express,4166,2.02,505.0,3,3.59,7.82,3.09,52.41
ORD100147,Beauty,Standard,4245,6.06,406.2,7,1.73,6.59,1.3,47.45
ORD100148,Fashion,Standard,6113,3.94,25.8,9,4.92,8.41,7.06,42.7
ORD100149,Beauty,Standard,4501,4.51,454.0,10,4.06,8.97,1.03,55.46
ORD100150,Books,Express,2723,3.44,500.2,2,2.07,2.3,5.79,36.82
ORD100151,Home & Kitchen,Same-Day,1854,6.74,493.3,2,1.51,6.1,3.54,40.22
ORD100152,Home & Kitchen,Same-Day,6796,4.63,417.0,10,4.59,4.44,4.87,46.86
ORD100153,Home & Kitchen,Express,3012,2.19,43.1,1,3.7,5.42,6.38,30.85
ORD100154,Electronics,Standard,7751,3.4,235.9,6,1.91,3.94,7.3,52.74
ORD100155,Fashion,Same-Day,5650,2.56,37.2,1,0.54,5.14,4.05,19.57
ORD100156,Electronics,Express,10156,4.46,250.9,9,3.17,4.33,3.33,41.31
ORD100157,Books,Standard,1817,2.38,279.1,2,2.29,7.36,3.73,36.25
ORD100158,Beauty,Express,2666,1.84,476.5,1,0.8,4.62,9.5,46.24
ORD100159,Electronics,Standard,7144,4.88,722.8,9,3.31,8.11,4.68,70.76
ORD100160,Electronics,Standard,6454,3.22,852.0,5,4.23,9.41,5.2,77.74
ORD100161,Beauty,Same-Day,3589,2.56,131.3,3,2.64,1.29,1.82,16.1
ORD100162,Beauty,Same-Day,6185,3.57,911.9,8,3.86,3.88,4.33,64.68
ORD100163,Beauty,Same-Day,1668,2.42,347.7,1,3.75,2.74,1.64,29.81
ORD100164,Home & Kitchen,Express,5833,4.6,675.9,7,4.09,5.93,8.94,61.33
ORD100165,Home & Kitchen,Express,4559,4.65,50.0,7,3.48,9.62,4.08,38.2
ORD100166,Fashion,Same-Day,2597,2.58,32.5,5,1.52,2.93,2.7,16.9
ORD100167,Fashion,Standard,4936,3.74,233.1,9,2.79,9.07,4.38,54.02
ORD100168,Beauty,Express,2135,2.2,495.5,1,2.35,4.44,2.51,45.7
ORD100169,Electronics,Same-Day,6369,4.11,571.9,8,4.07,5.83,1.75,35.65
ORD100170,Electronics,Express,9492,4.36,247.7,7,2.0,3.29,2.19,27.33
ORD100171,Books,Express,5334,7.26,632.3,9,2.15,5.65,8.93,61.95
ORD100172,Electronics,Standard,7177,4.7,841.6,9,4.65,6.51,9.36,83.16
ORD100173,Fashion,Same-Day,1067,4.4,248.5,3,1.96,5.47,6.97,34.03
ORD100174,,Express,3676,4.89,855.3,8,2.3,3.71,1.1,54.58
ORD100175,Electronics,Same-Day,6330,4.48,843.4,5,4.05,3.32,3.83,56.7
ORD100176,Electronics,Same-Day,2758,3.82,32.5,1,0.82,2.36,6.02,22.66
ORD100177,Home & Kitchen,Express,6014,5.37,700.7,10,3.47,2.11,6.03,55.79
ORD100178,Beauty,Same-Day ,2923,2.12,170.0,3,3.12,3.59,8.9,32.02
ORD100179,Books,Same-Day,1251,1.93,625.0,1,2.64,7.55,6.1,49.97
ORD100180,Fashion,Same-Day,3106,2.55,191.3,2,3.1,1.48,4.63,21.11
ORD100181,Home & Kitchen,Standard,4612,4.31,174.6,9,2.44,4.23,1.64,34.48
ORD100182,Fashion,Express,3723,3.06,423.8,3,1.57,5.3,9.79,53.68
ORD100183,Beauty,Standard,4030,3.56,625.4,5,3.76,9.75,4.28,71.05
ORD100184,Beauty,Standard,7107,3.62,447.6,7,3.16,4.61,1.22,51.14
ORD100185,Books,Express,3923,2.74,817.4,5,3.31,4.32,4.31,64.84
ORD100186,Home & Kitchen,Standard,4358,2.29,73.0,1,3.94,9.77,2.86,35.73
ORD100187,Books,Express,3739,2.74,609.4,2,3.34,2.3,6.18,45.67
ORD100188,Books,Same-Day,4549,1.73,202.1,1,0.74,9.57,7.53,36.8
ORD100189,Home & Kitchen,Express,4861,4.54,341.5,4,3.16,1.5,2.08,33.41
ORD100190,Beauty,Standard,4939,5.19,119.0,9,2.78,5.69,4.57,31.53
ORD100191,BOOKS,Express,7114,2.99,417.0,6,2.56,8.58,7.45,53.2
ORD100192,Beauty,Express,2176,3.01,147.5,2,3.68,0.0,4.88,31.02
ORD100193,Beauty,Standard,7546,4.91,812.4,10,2.32,4.65,5.1,78.45
ORD100194,Home & Kitchen,Standard,1958,4.15,481.1,7,4.74,4.26,5.4,61.09
ORD100195,Home & Kitchen,Same-Day,6273,4.08,323.6,4,3.7,4.48,4.47,40.52
ORD100196,Beauty,Standard,300,1.96,638.7,1,3.12,9.98,9.77,71.11
ORD100197,Beauty,Same-Day,3114,2.68,756.7,5,4.76,2.51,8.43,57.23
ORD100198,Fashion,Same-Day,1799,1.64,916.0,1,2.97,2.12,4.01,52.74
ORD100199,Fashion,Standard,5565,1.7,344.1,2,3.46,9.39,2.83,46.44
ORD100200,Home & Kitchen,Same-Day,7762,5.63,132.0,6,3.25,5.47,1.25,22.86
ORD100201,Electronics,Express,6190,3.19,576.3,2,1.56,4.15,8.32,56.1
ORD100202,Home & Kitchen,EXPRESS,3412,4.41,887.1,2,2.93,2.07,6.08,57.14
ORD100203,Beauty,Standard,2303,2.16,252.9,4,2.32,7.76,9.45,49.87
ORD100204,Home & Kitchen,Standard,4365,3.9,75.8,2,3.75,6.43,1.1,29.52
ORD100205,Beauty,Same-Day,4888,2.44,78.4,4,2.97,9.01,7.3,21.97
ORD100206, electronics,Same-Day,7403,4.51,872.4,9,4.53,3.47,5.07,55.26
ORD100207,Home & Kitchen,Express,3637,4.43,703.6,6,1.88,5.71,8.66,55.71
ORD100208,Electronics,Same-Day,3856,5.88,36.2,3,2.35,9.44,6.44,30.24
ORD100209,Electronics,Same-Day,6969,5.33,562.5,9,4.83,5.8,7.54,48.38
ORD100210,Electronics,Same-Day,4524,3.15,507.0,2,2.84,3.06,4.67,37.47
ORD100211,Beauty,Express,2782,2.16,108.5,3,1.79,0.0,3.14,25.18
ORD100212,Home & Kitchen,Express,3301,3.53,80.7,1,1.66,9.51,9.42,29.01
ORD100213,Books,Standard,2702,1.57,518.0,2,1.11,1.87,1.56,43.03
ORD100214,Home & Kitchen,Express,4875,3.6,911.5,5,3.71,7.86,6.45,73.57
ORD100215,Electronics,Standard,6497,3.75,594.9,3,3.76,3.17,8.48,59.53
ORD100216,Fashion,Express,5052,4.26,122.1,6,1.35,8.71,1.17,26.85
ORD100217,Fashion,Standard,6530,3.31,613.4,7,1.95,5.96,9.44,66.01
ORD100218,Books,Express,2345,2.36,161.1,3,1.74,6.35,1.61,29.12
ORD100219, electronics,Standard,6728,4.87,544.4,10,4.48,8.16,8.18,69.98
ORD100220,Books,Express,3677,1.65,141.2,2,1.31,1.93,2.02,24.95
ORD100221,Home & Kitchen,Standard,3612,4.38,755.4,4,2.4,7.32,5.14,66.96
ORD100222,Electronics,Same-Day,7680,3.61,774.2,5,2.1,3.53,3.68,47.42
ORD100223,Books,Standard,2307,2.67,411.9,5,4.6,4.76,6.96,57.32
ORD100224,Beauty,Same-Day,8197,4.53,258.8,10,3.65,3.6,8.14,38.32
ORD100225,Home & Kitchen,Standard,6854,5.92,60.2,10,3.85,1.23,1.85,28.31
ORD100226,Electronics,Same-Day,5347,3.25,467.1,1,3.13,8.51,7.61,46.28
ORD100227,Electronics,Standard,6231,4.71,669.3,4,1.35,7.78,5.75,60.34
ORD100228,Beauty,Express,1196,1.77,40.8,2,1.64,1.2,3.1,12.22
ORD100229,Beauty,Express,3516,4.15,327.1,3,2.75,8.99,6.92,42.79
ORD100230,Electronics,Express,5166,2.74,663.8,1,2.19,3.95,5.56,45.69
ORD100231,Electronics,Express,5792,3.6,512.0,6,3.84,1.52,7.49,53.97
ORD100232,Electronics,Same-Day,8250,5.0,225.9,8,2.37,3.0,,33.69
ORD100233,Home & Kitchen,Express,4945,3.5,873.1,6,4.08,9.13,4.34,73.9
ORD100234,Books,Same-Day,2028,1.79,201.6,3,3.81,4.18,1.94,19.31
ORD100235,Electronics,Standard,2582,3.43,566.4,1,2.32,8.76,6.82,61.41
ORD100236,Home & Kitchen,Standard,3633,3.13,108.5,3,3.96,9.62,9.51,44.53
ORD100237,Books,Standard,3509,3.57,557.8,3,2.91,9.59,6.11,66.49
ORD100238,Fashion,Same-Day,2720,8.08,554.9,3,2.21,1.66,2.78,30.84
ORD100239,Books,Same-Day,1888,3.85,850.1,1,3.44,3.34,2.69,50.8
ORD100240,Beauty,Express,300,3.03,607.2,3,2.24,8.91,3.37,55.67
ORD100241,Beauty,Same-Day,2355,2.33,783.1,2,2.3,1.3,5.97,49.49
ORD100242,Home & Kitchen,Same-Day,3704,2.58,88.0,3,2.8,5.99,1.64,17.54
ORD100243,Books,Standard,8626,5.37,508.4,10,4.44,8.59,2.92,62.95
ORD100244,Fashion,Same-Day,1914,2.28,131.0,3,3.5,9.64,7.87,33.67
ORD100245,Fashion,Standard,4077,2.33,272.4,1,2.04,6.46,1.34,32.58
ORD100246,Beauty,Standard,2765,2.89,87.5,2,1.32,4.54,8.41,46.0
ORD100247,Home & Kitchen,Standard,3995,4.58,227.0,4,1.34,2.05,6.24,36.84
ORD100248,Beauty,Express,3526,2.1,700.4,4,3.7,2.54,9.04,61.55
ORD100249,Books,Express,4275,2.69,274.6,3,2.16,7.79,3.01,34.34
ORD100250,Electronics,Express,2818,3.37,669.3,4,2.81,2.28,8.59,55.06
ORD100251,Books,Same-Day,5887,4.66,370.8,9,3.9,5.43,4.54,37.28
ORD100252,Electronics,Same-Day,2427,2.41,465.3,2,1.35,6.07,6.11,38.23
ORD100253,Fashion,Express,7627,4.34,941.1,7,4.09,8.41,1.22,67.37
ORD100254,Beauty,Same-Day,300,3.21,618.8,2,2.34,9.5,5.52,44.09
ORD100255,Electronics,Standard,-900,2.48,708.3,3,1.41,5.53,2.54,53.82
ORD100256,Books,Same-Day,2135,3.66,212.2,6,3.91,3.4,9.65,32.19
ORD100257,Electronics,Standard,4467,3.9,35.6,5,1.62,1.87,4.63,29.24
ORD100258,Books,Standard,3564,2.03,872.0,3,3.91,1.25,9.73,75.05
ORD100259,Books,Same-Day,5901,3.03,317.1,6,2.38,1.62,6.24,33.04
ORD100260,Fashion,Same-Day,3166,2.29,187.0,2,1.94,2.37,8.3,27.67
ORD100261,Electronics,Express,490,2.3,925.9,1,1.08,8.51,5.88,63.47
ORD100262,Fashion,Same-Day,4940,4.18,587.4,5,4.16,1.86,,42.22
ORD100263,Electronics,Express,4796,4.05,519.4,7,2.34,1.86,3.28,42.49
ORD100264,Books,Express,7343,4.89,504.0,9,4.22,4.1,5.88,49.61
ORD100265,Beauty,Express,7482,7.41,831.4,6,2.51,1.57,7.8,62.49
ORD100266,Fashion,Same-Day,7071,6.96,72.1,9,2.63,5.92,5.12,25.42
ORD100267,Electronics,Standard,5668,3.46,433.7,6,4.06,8.73,3.77,58.06
ORD100268,Beauty,Express,4266,3.09,71.3,6,2.26,5.91,5.13,31.91
ORD100269,Home & Kitchen,Express,3318,5.25,455.5,3,2.57,3.22,6.86,48.04
ORD100270,Electronics,Standard,1656,2.03,782.3,1,1.0,3.66,8.29,65.38
ORD100271,Books,Standard,6006,2.66,667.1,1,2.22,4.5,7.64,56.77
ORD100272,Beauty,Same-Day,376,2.39,664.7,1,3.73,8.65,6.0,55.71
ORD100273,Home & Kitchen,express,1692,3.75,329.0,1,0.61,4.77,5.3,41.74
ORD100274,Home & Kitchen,Express ,300,2.92,215.5,2,1.63,3.01,4.57,30.41
ORD100275,Fashion,Same-Day,6579,5.96,840.9,9,2.54,6.62,5.33,52.49
ORD100276,Beauty,Express,1669,2.28,702.0,1,0.88,3.09,3.11,49.74
ORD100277,Fashion,Standard,2608,3.17,621.8,3,1.14,8.18,6.33,69.38
ORD100278,Fashion,Standard,3285,2.15,636.2,3,2.34,2.79,2.97,53.55
ORD100279,Books,Same-Day,5717,3.61,362.1,9,2.25,6.42,4.73,41.47
ORD100280,Books,Express,1823,2.19,766.1,4,2.41,4.48,8.5,66.41
ORD100281,Books,Same-Day,3662,2.6,516.3,5,2.22,3.75,5.8,34.68
ORD100282,Electronics,Same-Day,4051,1.95,206.7,1,3.41,7.24,7.79,38.01
ORD100283,Beauty,Standard,3189,1.65,808.7,1,0.95,3.24,4.3,63.5
ORD100284,Beauty,Same-Day,2061,3.68,172.5,3,3.26,2.67,5.65,20.74
ORD100285,Fashion,Standard,3148,1.76,412.9,1,1.79,5.93,7.69,44.37
ORD100286,Books,Standard,1760,2.75,566.8,1,2.96,1.48,3.45,49.71
ORD100287,Fashion,Express,3201,2.22,30.1,2,2.59,3.46,3.98,19.18
ORD100288,Fashion,Standard,3986,2.16,435.2,2,3.12,8.62,3.68,55.78
ORD100289,Fashion,Same-Day,5489,4.74,73.2,5,4.05,8.09,2.9,27.58
ORD100290,Home & Kitchen,Express,3925,3.9,542.2,4,4.42,3.98,9.44,55.68
ORD100291,Books,Same-Day,7023,3.92,518.8,9,3.86,3.8,8.87,47.35
ORD100292,Electronics,Same-Day,8252,4.2,383.5,8,4.73,3.46,2.96,32.92
ORD100293,Fashion,Express,1596,1.62,400.2,1,1.01,2.36,5.49,35.94
ORD100294,Books,Standard,3667,3.28,825.0,7,2.58,5.62,6.37,71.36
ORD100295,Electronics,Express,8632,4.87,756.2,10,2.37,1.7,9.45,60.55
ORD100296,Beauty,Standard,2874,6.01,521.1,2,2.3,6.28,1.48,46.06
ORD100297,Home & Kitchen,Standard,4404,4.53,643.9,0,3.92,6.3,3.01,57.47
ORD100298,Fashion,Same-Day,1999,5.35,831.4,5,4.38,9.22,6.72,63.9
ORD100299,Books,Same-Day,1969,4.27,397.4,5,2.2,7.7,9.38,36.93
ORD100300,Fashion,Express,7368,3.28,891.3,5,3.2,3.43,8.18,71.37
ORD100301,Books,Standard,4123,3.79,335.9,10,3.3,8.83,7.3,58.78
ORD100302,Electronics,Same-Day,3949,1.61,706.9,1,2.84,7.98,1.79,45.17
ORD100303,Electronics,Express,4551,3.55,524.1,4,3.0,5.27,5.33,46.73
ORD100304,Beauty,Standard,3674,2.47,47.7,4,2.98,8.88,5.09,44.95
ORD100305,Fashion,Standard,2537,2.23,94.2,3,3.31,9.4,6.87,36.8
ORD100306,Beauty,Express,6007,-0.9,368.2,7,3.54,3.69,3.97,40.18
ORD100307,Beauty,Standard,6718,3.71,110.3,8,3.29,3.13,8.12,44.53
ORD100308,Fashion,Express,1853,2.97,341.0,4,2.89,8.73,5.44,36.7
ORD100309,Books,Same-Day,5218,2.86,587.2,4,2.5,5.93,8.54,54.31
